data(decimal): 148, data(binary): 0010010100, data_error: 0, frame_error: 0
data(decimal): 149, data(binary): 0010010101, data_error: 0, frame_error: 0
data(decimal): 150, data(binary): 0010010110, data_error: 0, frame_error: 0
data(decimal): 151, data(binary): 0010010111, data_error: 0, frame_error: 0
data(decimal): 152, data(binary): 0010011000, data_error: 0, frame_error: 0
data(decimal): 153, data(binary): 0010011001, data_error: 0, frame_error: 0
data(decimal): 154, data(binary): 0010011010, data_error: 0, frame_error: 0
data(decimal): 155, data(binary): 0010011011, data_error: 0, frame_error: 0
data(decimal): 156, data(binary): 0010011100, data_error: 0, frame_error: 0
data(decimal): 157, data(binary): 0010011101, data_error: 0, frame_error: 0
data(decimal): 158, data(binary): 0010011110, data_error: 0, frame_error: 0
data(decimal): 159, data(binary): 0010011111, data_error: 0, frame_error: 0
data(decimal): 160, data(binary): 0010100000, data_error: 0, frame_error: 0
data(decimal): 161, data(binary): 0010100001, data_error: 0, frame_error: 0
data(decimal): 162, data(binary): 0010100010, data_error: 0, frame_error: 0
data(decimal): 163, data(binary): 0010100011, data_error: 0, frame_error: 0
data(decimal): 164, data(binary): 0010100100, data_error: 0, frame_error: 0
data(decimal): 165, data(binary): 0010100101, data_error: 0, frame_error: 0
data(decimal): 166, data(binary): 0010100110, data_error: 0, frame_error: 0
data(decimal): 167, data(binary): 0010100111, data_error: 0, frame_error: 0
data(decimal): 168, data(binary): 0010101000, data_error: 0, frame_error: 0
data(decimal): 169, data(binary): 0010101001, data_error: 0, frame_error: 0
data(decimal): 170, data(binary): 0010101010, data_error: 0, frame_error: 0
data(decimal): 171, data(binary): 0010101011, data_error: 0, frame_error: 0
data(decimal): 172, data(binary): 0010101100, data_error: 0, frame_error: 0
data(decimal): 173, data(binary): 0010101101, data_error: 0, frame_error: 0
data(decimal): 174, data(binary): 0010101110, data_error: 0, frame_error: 0
data(decimal): 175, data(binary): 0010101111, data_error: 0, frame_error: 0
data(decimal): 176, data(binary): 0010110000, data_error: 0, frame_error: 0
data(decimal): 177, data(binary): 0010110001, data_error: 0, frame_error: 0
data(decimal): 178, data(binary): 0010110010, data_error: 0, frame_error: 0
data(decimal): 179, data(binary): 0010110011, data_error: 0, frame_error: 0
data(decimal): 180, data(binary): 0010110100, data_error: 0, frame_error: 0
data(decimal): 181, data(binary): 0010110101, data_error: 0, frame_error: 0
data(decimal): 182, data(binary): 0010110110, data_error: 0, frame_error: 0
data(decimal): 183, data(binary): 0010110111, data_error: 0, frame_error: 0
data(decimal): 184, data(binary): 0010111000, data_error: 0, frame_error: 0
data(decimal): 185, data(binary): 0010111001, data_error: 0, frame_error: 0
data(decimal): 186, data(binary): 0010111010, data_error: 0, frame_error: 0
data(decimal): 187, data(binary): 0010111011, data_error: 0, frame_error: 0
data(decimal): 188, data(binary): 0010111100, data_error: 0, frame_error: 0
data(decimal): 189, data(binary): 0010111101, data_error: 0, frame_error: 0
data(decimal): 190, data(binary): 0010111110, data_error: 0, frame_error: 0
